order,section,capability,method,status,sources,last_reviewed,notes
"11","Lattices over $\mathbf{Z}$","Lattice/space rank and dimension","dim","done","sage/quadratic_forms/genera/genus.py::GenusSymbol_global_ring (dim = dimension), sage_doc/test_genus_static.py::test_genus_dim_and_dimension_aliases_match_rank","2026-02-15","re-verified as explicit alias dim=dimension in implementation"
"12","Number fields $K/\mathbf{Q}$","Number field degree invariants (absolute/relative)","degree","done","sage/rings/number_field/number_field.py::degree, sage_doc/test_numberfield_bridge_static.py::test_numberfield_degree_matches_polynomial_degree","2026-02-15","recategorized out of lattice dimension; degree is extension invariant [K:Q]"
"13","Matrix algorithms","Matrix rank and shape invariants","nrows","done","sage/matrix/matrix0.pyx::nrows, sage_doc/test_matrix_methods_static.py::test_matrix_nrows_returns_row_count","2026-02-15","recategorized: matrix shape accessor"
"14","Matrix algorithms","Matrix rank and shape invariants","ncols","done","sage/matrix/matrix0.pyx::ncols, sage_doc/test_matrix_methods_static.py::test_matrix_ncols_returns_column_count","2026-02-15","recategorized: matrix shape accessor"
"15","Matrix algorithms","Matrix rank and shape invariants","dimensions","done","sage/matrix/matrix0.pyx::dimensions, sage_doc/test_matrix_methods_static.py::test_matrix_dimensions_matches_nrows_ncols","2026-02-15","recategorized: matrix shape pair (nrows,ncols)"
"16","Lattices over $\mathbf{Z}$","Lattice signature invariant","signature","done","sage/quadratic_forms/genera/genus.py::signature, sage_doc/test_genus_static.py::test_genus_signature_is_difference_of_signature_pair","2026-02-15","re-verified implementation: signature() returns p-n from signature_pair() (checklist text unchanged)"
"17","Lattices over $\mathbf{Z}$","Lattice signature invariant","signature_pair","done","sage/quadratic_forms/genera/genus.py::signature_pair, sage_doc/test_integrallattice_static.py::test_integrallattice_signature_pair_for_indefinite_form","2026-02-15","re-verified implementation returns stored (p,n) signature pair (checklist text unchanged)"
"18","Lattices over $\mathbf{Z}$","Lattice signature invariant","signature_tuple","done","julia_doc/test_zzlat_attributes.jl::\""signature_tuple: positive definite A2\"", julia_doc/test_zzlat_attributes.jl::\""signature_tuple: indefinite hyperbolic plane\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_signature_tuple","2026-02-15","re-verified from doc tests only: outputs (p,n,z) on definite and hyperbolic samples (checklist text unchanged)"
"19","Quadratic forms over $\mathbf{Z}$","Quadratic-form real signature invariants","signature_vector","done","sage/quadratic_forms/quadratic_form__local_field_invariants.py::signature_vector, sage_doc/test_quadraticform_static.py::test_quadraticform_signature_vector_counts_eigenvalue_signs","2026-02-15","recategorized to quadratic-form signature object"
"20","Lattices over $\mathbf{Z}$","Lattice signature invariant","signature_pair_of_matrix","done","sage/quadratic_forms/genera/genus.py::signature_pair_of_matrix (alias), sage_doc/test_genus_static.py::test_genus_signature_pair_of_matrix_alias","2026-02-15","re-verified as explicit alias to signature_pair in implementation"
"21","Number fields $K/\mathbf{Q}$","Number field discriminant/different/conductor algorithms","discriminant","done","sage/rings/number_field/number_field.py::discriminant, sage_doc/test_numberfield_bridge_static.py::test_numberfield_trace_gram_matches_discriminant","2026-02-15","recategorized: number-field discriminant invariant"
"22","Quadratic forms over $\mathbf{Z}$","Quadratic-form discriminant invariants","disc","done","sage/quadratic_forms/ternary_qf.py::disc, sage_doc/test_ternaryqf_static.py::test_ternaryqf_disc_matches_hessian_det_half","2026-02-15","recategorized: ternary quadratic-form discriminant convention"
"23","Number fields $K/\mathbf{Q}$","Number field discriminant/different/conductor algorithms","absolute_discriminant","done","sage/rings/number_field/number_field.py::absolute_discriminant, sage_doc/test_numberfield_bridge_static.py::test_numberfield_absolute_discriminant_matches_discriminant","2026-02-15","recategorized; implementation is synonym of discriminant(), not absolute value"
"24","Number fields $K/\mathbf{Q}$","Number field discriminant/different/conductor algorithms","relative_discriminant","done","sage/rings/number_field/number_field.py::relative_discriminant, sage_doc/test_numberfield_bridge_static.py::test_numberfield_relative_discriminant_equals_discriminant_over_q","2026-02-15","recategorized; implementation is synonym of discriminant() in this API"
"25","Quadratic forms over $\mathbf{Z}$","Quadratic-form discriminant invariants","has_fundamental_discriminant","done","sage/quadratic_forms/binary_qf.py::has_fundamental_discriminant, sage_doc/test_binaryqf_static.py::test_binaryqf_has_fundamental_discriminant_true_example","2026-02-15","recategorized: binary quadratic-form discriminant arithmetic predicate"
"26","Lattices over $\mathbf{Z}$","Lattice covolume invariant","volume","done","sage/modules/free_module_integer.py::volume, sage_doc/test_integerlattice_static.py::test_integerlattice_volume_square_matches_discriminant","2026-02-15","re-verified and checklist aligned to implementation branches: full-rank |det(B)|, otherwise sqrt(det(BB^T))"
"27","Lattices over $\mathbf{Z}$","Lattice scale invariant","scale","done","sage/quadratic_forms/genera/genus.py::scale, sage_doc/test_genus_static.py::test_genus_scale_and_norm_are_positive","2026-02-15","re-verified implementation/docstring: scale is ideal b(L,L); ZZ tests observe integer generator"
"28","Lattices over $\mathbf{Z}$","Lattice level invariant","level","done","sage/quadratic_forms/genera/genus.py::level, sage_doc/test_genus_static.py::test_genus_level_positive_integer","2026-02-15","re-verified implementation/docstring: level is denominator of inverse Gram matrix"
"29","Quadratic forms over $\mathbf{Z}$","Quadratic-form level invariants","level_ideal","done","sage/quadratic_forms/quadratic_form.py::level_ideal, sage_doc/test_quadraticform_static.py::test_quadraticform_level_ideal_matches_level_generator","2026-02-15","recategorized: quadratic-form level ideal method"
"30","Quadratic forms over $\mathbf{Z}$","Quadratic-form level invariants","level__Tornaria","done","sage/quadratic_forms/quadratic_form__ternary_Tornaria.py::level__Tornaria, sage_doc/test_quadraticform_static.py::test_quadraticform_level_Tornaria_is_positive","2026-02-15","recategorized: Tornaria normalization for quadratic-form level"
"31","Lattices over $\mathbf{Z}$","Parity invariant","is_even","done","sage/modules/free_quadratic_module_integer_symmetric.py::is_even, sage_doc/test_integrallattice_static.py::test_integrallattice_is_even_detects_odd_diagonal","2026-02-15","re-verified implementation checks Gram diagonal entries are even"
"32","Quadratic forms over $\mathbf{Z}$","Quadratic-form parity predicates","is_odd","done","sage/quadratic_forms/quadratic_form__mass__Conway_Sloane_masses.py::is_odd, sage_doc/test_quadraticform_static.py::test_quadraticform_is_odd_true_example","2026-02-15","recategorized: quadratic-form parity predicate"
"33","Quadratic forms over $\mathbf{Z}$","Quadratic-form parity predicates","parity","done","sage/quadratic_forms/quadratic_form__mass__Conway_Sloane_masses.py::parity, sage_doc/test_quadraticform_static.py::test_quadraticform_parity_matches_is_odd","2026-02-15","recategorized: quadratic-form parity classifier"
"34","Lattices over $\mathbf{Z}$","Unimodularity predicate","is_unimodular","done","sage/modules/free_module_integer.py::is_unimodular, sage_doc/test_integerlattice_static.py::test_integerlattice_is_unimodular_false_for_scaled_basis","2026-02-15","re-verified implementation criterion volume()==1 (equivalently |det G|=1 for integral lattices)"
"35","Quadratic forms over $\mathbf{Z}$","Quadratic-form singularity and zero-locus predicates","is_singular","done","sage/quadratic_forms/binary_qf.py::is_singular, sage_doc/test_binaryqf_static.py::test_binaryqf_is_singular_false_for_nonzero_discriminant","2026-02-15","recategorized: binary quadratic-form degeneracy predicate"
"36","Quadratic forms over $\mathbf{Z}$","Quadratic-form singularity and zero-locus predicates","is_nonsingular","done","sage/quadratic_forms/binary_qf.py::is_nonsingular, sage_doc/test_binaryqf_static.py::test_binaryqf_nonsingular_is_logical_negation_of_singular","2026-02-15","recategorized: binary quadratic-form nondegeneracy predicate"
"37","Quadratic forms over $\mathbf{Z}$","Quadratic-form singularity and zero-locus predicates","is_zero_nonsingular","done","sage/quadratic_forms/quadratic_form__ternary_Tornaria.py::is_zero_nonsingular, sage_doc/test_quadraticform_static.py::test_quadraticform_is_zero_nonsingular_false_for_zero_vector","2026-02-15","recategorized: ternary conic nonsingularity-at-zero predicate"
"38","Quadratic forms over $\mathbf{Z}$","Quadratic-form singularity and zero-locus predicates","is_zero_singular","done","sage/quadratic_forms/quadratic_form__ternary_Tornaria.py::is_zero_singular, sage_doc/test_quadraticform_static.py::test_quadraticform_is_zero_singular_true_for_zero_vector","2026-02-15","recategorized: ternary conic singular-at-zero predicate"
"39","Quadratic forms over $\mathbf{Z}$","Quadratic-form singularity and zero-locus predicates","is_zero","done","sage/quadratic_forms/quadratic_form__ternary_Tornaria.py::is_zero, sage_doc/test_quadraticform_static.py::test_quadraticform_is_zero_on_zero_vector","2026-02-15","recategorized: ternary zero-locus predicate"
"40","Lattices over $\mathbf{Z}$","Dual lattice/module construction","dual","done","julia_doc/test_zzlat_module_ops.jl::\""dual: dual lattice has reciprocal determinant\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_dual","2026-02-15","dual defined as integrally pairing module in ambient V"
"41","Lattices over $\mathbf{Z}$","Dual lattice/module construction","dual_lattice","done","sage/modules/free_quadratic_module_integer_symmetric.py::dual_lattice, sage_doc/test_integrallattice_static.py::test_integrallattice_dual_lattice_contains_scaled_basis","2026-02-15","re-verified implementation: returns {x in L⊗Q : (x,l) in Z for all l}"
"42","Lattices over $\mathbf{Z}$","Dual lattice/module construction","discriminant_group","done","sage/modules/free_quadratic_module_integer_symmetric.py::discriminant_group, sage_doc/test_integrallattice_static.py::test_integrallattice_discriminant_group_has_expected_order_rank_one","2026-02-15","re-verified implementation builds finite quotient L^#/L"
"43","Lattices over $\mathbf{Z}$","Dual lattice/module construction","discriminant_form","done","sage/quadratic_forms/genera/genus.py::discriminant_form, sage_doc/test_genus_static.py::test_genus_discriminant_form_cardinality_matches_abs_determinant","2026-02-15","re-verified implementation returns torsion quadratic module from genus symbol"
"44","Lattices over $\mathbf{Z}$","Lattice sum/product/tensor operations","direct_sum","done","sage_doc/test_integrallattice_static.py::test_integrallattice_direct_sum_adds_rank","2026-02-15","orthogonal sum/block-diagonal Gram and additive rank noted"
"45","Lattices over $\mathbf{Z}$","Lattice sum/product/tensor operations","direct_product","done","julia_doc/test_zzlat_module_ops.jl::\""direct_product: product of two lattices\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_direct_product","2026-02-15","product object with projections and additive rank noted"
"46","Lattices over $\mathbf{Z}$","Lattice sum/product/tensor operations","biproduct","done","julia_doc/test_zzlat_module_ops.jl::\""biproduct: returns injections and projections\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_biproduct","2026-02-15","explicit tuple (L,i1,i2,p1,p2) and biproduct meaning noted"
"47","Lattices over $\mathbf{Z}$","Lattice sum/product/tensor operations","tensor_product","done","sage_doc/test_integrallattice_static.py::test_integrallattice_tensor_product_rank_multiplies","2026-02-15","induced pairing and multiplicative rank formula added"
"48","Matrix algorithms","Matrix block/assembly operations","block_sum","done","sage_doc/test_matrix_methods_static.py::test_matrix_block_sum_has_additive_dimensions","2026-02-15","recategorized: block-diagonal matrix constructor"
"49","Lattices over $\mathbf{Z}$","Lattice substructure relations","intersect","done","julia_doc/test_zzlat_module_ops.jl::\""intersect: intersection in common ambient\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_intersect","2026-02-15","set-theoretic intersection L1∩L2 in common ambient V"
"50","Lattices over $\mathbf{Z}$","Lattice substructure relations","is_sublattice","done","julia_doc/test_zzlat_module_ops.jl::\""is_sublattice: 2L is sublattice of L\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_is_sublattice","2026-02-15","inclusion criterion M⊆L in fixed ambient space stated"
"51","Quadratic forms over $\mathbf{Z}$","Quadratic form content and primitiveness","is_primitive","done","sage_doc/test_ternaryqf_static.py::test_ternaryqf_is_primitive_matches_content_one","2026-02-15","recategorized: ternary-form coefficient-gcd primitive predicate"
"52","Lattices over $\mathbf{Z}$","Lattice substructure relations","sublattice","done","sage_doc/test_integrallattice_static.py::test_integrallattice_sublattice_rank_from_single_generator","2026-02-15","defined as Z-span of provided generators in ambient space"
"53","Lattices over $\mathbf{Z}$","Lattice substructure relations","overlattice","done","sage_doc/test_integrallattice_static.py::test_integrallattice_overlattice_contains_original_rank","2026-02-15","defined as lattice generated by L plus added ambient vectors"
"54","Lattices over $\mathbf{Z}$","Lattice substructure relations","maximal_overlattice","done","sage/modules/free_quadratic_module_integer_symmetric.py::maximal_overlattice, sage_doc/test_integrallattice_static.py::test_integrallattice_maximal_overlattice_evenness_constraint_at_two","2026-02-15","local/global maximal even overlattice semantics with p-local condition added"
"55","Lattices over $\mathbf{Z}$","Lattice substructure relations","orthogonal_submodule","done","julia_doc/test_zzlat_module_ops.jl::\""orthogonal_submodule: orthogonal complement\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_orthogonal_submodule","2026-02-15","orthogonal complement S^⊥ in L under bilinear pairing"
"56","Lattices over $\mathbf{Z}$","Lattice substructure relations","orthogonal_complement","done","sage_doc/test_integrallattice_static.py::test_integrallattice_orthogonal_complement_dimension","2026-02-15","ambient-module orthogonal complement M^⊥ definition recorded"
"57","Lattices over $\mathbf{Z}$","Lattice substructure relations","primitive_closure","done","julia_doc/test_zzlat_module_ops.jl::\""primitive_closure: primitive closure of sublattice\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_primitive_closure","2026-02-15","minimal primitive P with S⊆P⊆L and L/P torsion-free"
"58","Lattices over $\mathbf{Z}$","Lattice scaling/twisting","rescale","done","julia_doc/test_zzlat_construction.jl::\""rescale: flips sign of Gram\"", julia_doc/test_zzlat_construction.jl::\""rescale: scales Gram by integer\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_rescale","2026-02-15","explicit scaling q'=c q and G'=cG recorded"
"59","Lattices over $\mathbf{Z}$","Lattice scaling/twisting","twist","done","sage_doc/test_torsionquadraticmodule_static.py::test_tqm_twist_multiplies_quadratic_values","2026-02-15","twist as simultaneous scaling of quadratic and bilinear data"
"60","Lattices over $\mathbf{Z}$","Lattice scaling/twisting","scale_by_factor","done","sage_doc/test_ternaryqf_static.py::test_ternaryqf_scale_by_factor_scales_coefficients","2026-02-15","coefficient/Hessian scaling by scalar c documented"
"61","Lattices over $\mathbf{Z}$","Orthogonal/isometry group construction","orthogonal_group","done","sage/modules/free_quadratic_module_integer_symmetric.py::orthogonal_group, sage_doc/test_torsionquadraticmodule_static.py::test_tqm_orthogonal_group_has_generators","2026-02-15","group of lattice-preserving isometries O(L) specified"
"62","Lattices over $\mathbf{Z}$","Orthogonal/isometry group construction","automorphism_group","done","sage/quadratic_forms/quadratic_form__automorphisms.py::automorphism_group, sage_doc/test_quadraticform_static.py::test_quadraticform_automorphism_group_order_matches_automorphisms_list","2026-02-15","Q(Mx)=Q(x) matrix-group definition and PARI backend note added"
"63","Lattices over $\mathbf{Z}$","Orthogonal/isometry group construction","automorphisms","done","sage/quadratic_forms/quadratic_form__automorphisms.py::automorphisms, sage_doc/test_ternaryqf_static.py::test_ternaryqf_automorphisms_count_matches_number_of_automorphisms","2026-02-15","set of M with Q∘M=Q, cardinality matches number_of_automorphisms"
"64","Lattices over $\mathbf{Z}$","Orthogonal/isometry group construction","automorphism_group_generators","done","julia_doc/test_zzlat_automorphism.jl::\""automorphism_group_generators: A2 automorphism group\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_automorphism_group_generators","2026-02-15","generator-level Gram invariance gGg^T=G stated"
"65","Lattices over $\mathbf{Z}$","Orthogonal/isometry group construction","automorphism_group_order","done","julia_doc/test_zzlat_automorphism.jl::\""automorphism_group_order: A2 has |Aut| = 12\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_automorphism_group_order","2026-02-15","group order |Aut(L)| semantics recorded"
"66","Lattices over $\mathbf{Z}$","Orthogonal/isometry group construction","automorphism_spin_norm","done","sage/quadratic_forms/ternary_qf.py::automorphism_spin_norm, sage_doc/test_ternaryqf_static.py::test_ternaryqf_automorphism_spin_norm_identity","2026-02-15","implementation formula via symmetry vectors and squarefree part added"
"67","Lattices over $\mathbf{Z}$","Orthogonal/isometry group construction","automorphism_symmetries","done","sage/quadratic_forms/ternary_qf.py::automorphism_symmetries, sage_doc/test_ternaryqf_static.py::test_ternaryqf_automorphism_symmetries_identity_empty","2026-02-15","A decomposed into two symmetry factors; identity gives empty list"
"68","Lattices over $\mathbf{Z}$","Orthogonal/isometry group construction","invariant_bilinear_form","done","sage/groups/matrix_gps/isometries.py::invariant_bilinear_form, sage_doc/test_groupofisometries_static.py::test_groupofisometries_invariant_bilinear_form_matches_lattice","2026-02-15","invariance condition g^TBg=B explicitly stated"
"69","Lattices over $\mathbf{Z}$","Isometry predicates","is_isometric","done","julia_doc/test_zzlat_automorphism.jl::\""is_isometric: A2 is isometric to itself\"", julia_doc/test_zzlat_automorphism.jl::\""is_isometric: A2 not isometric to A3\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_is_isometric","2026-02-15","existence of T with TG1T^T=G2 stated"
"70","Quadratic forms over $\mathbf{Z}$","Quadratic-form isometry/equivalence predicates","is_rationally_isometric","done","sage_doc/test_quadraticform_static.py::test_quadraticform_is_rationally_isometric_detects_discriminant_change","2026-02-15","recategorized: quadratic-form rational isometry predicate"
"71","Quadratic forms over $\mathbf{Z}$","Quadratic-form isometry/equivalence predicates","is_globally_equivalent_to","done","sage_doc/test_quadraticform_static.py::test_quadraticform_is_globally_equivalent_to_reflexive_and_detects_change","2026-02-15","recategorized: quadratic-form integral equivalence predicate"
"72","Quadratic forms over $\mathbf{Z}$","Quadratic-form isometry/equivalence predicates","is_locally_equivalent_to","done","sage_doc/test_quadraticform_static.py::test_quadraticform_is_locally_equivalent_to_reflexive_and_detects_change","2026-02-15","recategorized: quadratic-form local equivalence predicate"
"73","Quadratic forms over $\mathbf{Z}$","Quadratic form reductions","is_equivalent","done","sage_doc/test_binaryqf_static.py::test_binaryqf_is_equivalent_reflexive","2026-02-15","recategorized: binary quadratic-form equivalence predicate"
"74","Number fields $K/\mathbf{Q}$","Number field Galois and subfield algorithms","is_isomorphic","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_is_isomorphic_true_to_itself","2026-02-15","recategorized: number-field Q-algebra isomorphism predicate"
"75","Lattices over $\mathbf{Z}$","Hermite normal form","hnf","done","julia_doc/test_nemo.jl::\""hnf: Hermite normal form\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_hnf","2026-02-15","decomposition H=UX with U unimodular and HNF conditions added"
"76","Lattices over $\mathbf{Z}$","Hermite normal form","hnf_with_transform","done","julia_doc/test_nemo.jl::\""hnf_with_transform: HNF + transformation matrix\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_hnf_with_transform","2026-02-15","explicit return pair (H,U) with H=UX and U unimodular"
"77","Lattices over $\mathbf{Z}$","Smith normal form","snf","done","julia_doc/test_nemo.jl::\""snf: Smith normal form\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_snf","2026-02-15","invariant-factor decomposition D=UXV with divisibility chain added"
"78","Lattices over $\mathbf{Z}$","Smith normal form","snf_with_transform","done","julia_doc/test_nemo.jl::\""snf_with_transform: SNF + transformation matrices\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_snf_with_transform","2026-02-15","explicit tuple (D,U,V) with D=UXV and unimodular transforms"
"79","Lattices over $\mathbf{Z}$","Smith normal form","smith_form","done","sage_doc/test_matrix_methods_static.py::test_matrix_smith_form_diagonal_divisibility","2026-02-15","invariant factors interpreted as structure of Z^n/im(X)"
"80","Lattices over $\mathbf{Z}$","Toric lattice duality bridge","dual_pairing","done","sage_doc/test_toriclattice_static.py::test_toriclattice_dual_pairing_matches_coordinate_dot_product","2026-02-15","canonical evaluation m(n) in Z on dual lattices"
"81","Lattices over $\mathbf{Z}$","Toric lattice duality bridge","cone_dual","done","sage_doc/test_toriclattice_static.py::test_toriclattice_cone_dual_involution_preserves_ray_count","2026-02-15","cone dual C^vee and involution (C^vee)^vee=C stated"
"82","Lattices over $\mathbf{Z}$","Toric lattice duality bridge","cone_from_integrallattice","done","sage_doc/test_toriclattice_static.py::test_toric_cone_accepts_integrallattice_as_lattice_parameter","2026-02-15","cone ambient lattice generalized to free Z-modules incl IntegralLattice"
"83","Lattices over $\mathbf{Z}$","Toric lattice duality bridge","integrallattice_from_toriclattice_parent","done","sage_doc/test_toriclattice_static.py::test_integrallattice_cannot_be_built_directly_from_toriclattice_parent","2026-02-15","constructor input-type restriction documented"
"84","Lattices over $\mathbf{Z}$","Toric lattice duality bridge","integrallattice_from_toriclattice_basis_matrix","done","sage_doc/test_toriclattice_static.py::test_integrallattice_can_be_built_from_toriclattice_basis_matrix","2026-02-15","basis-matrix route to IntegralLattice construction recorded"
"85","Lattices over $\mathbf{Z}$","Free quadratic module ambient data","gram_matrix","done","sage_doc/test_freequadraticmodule_static.py::test_freequadraticmodule_gram_matrix_on_submodule_basis","2026-02-15","matrix identity G=BAB^T (entries (b_i,b_j)) added"
"86","Lattices over $\mathbf{Z}$","Free quadratic module ambient data","basis_matrix","done","julia_doc/test_zzlat_attributes.jl::\""basis_matrix: identity for standard construction\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_basis_matrix","2026-02-15","rows interpreted as basis vectors in ambient coordinates"
"87","Lattices over $\mathbf{Z}$","Free quadratic module ambient data","ambient_module","done","sage_doc/test_freequadraticmodule_static.py::test_freequadraticmodule_ambient_module_is_self_for_ambient","2026-02-15","ambient parent module M semantics recorded"
"88","Lattices over $\mathbf{Z}$","Free quadratic module ambient data","ambient_space","done","julia_doc/test_zzlat_attributes.jl::\""ambient_space: returns quadratic space\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_ambient_space","2026-02-15","ambient quadratic space (V,q) interpretation added"
"89","Lattices over $\mathbf{Z}$","Free quadratic module ambient data","ambient_vector_space","done","sage_doc/test_freequadraticmodule_static.py::test_freequadraticmodule_ambient_vector_space_keeps_dimension","2026-02-15","scalar extension M⊗_R Frac(R) noted"
"90","Lattices over $\mathbf{Z}$","Free quadratic module ambient data","rational_span","done","julia_doc/test_zzlat_attributes.jl::\""rational_span: returns quadratic space over QQ\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_rational_span","2026-02-15","Q⊗_Z L rational span formula added"
"91","Lattices over $\mathbf{Z}$","Free quadratic module ambient data","inner_product_matrix","done","sage_doc/test_freequadraticmodule_static.py::test_freequadraticmodule_inner_product_matrix_returns_ambient_form","2026-02-15","bilinear matrix representation (x,y)=xAy^T added"
"92","Lattices over $\mathbf{Z}$","Free quadratic module ambient data","zero_submodule","done","sage_doc/test_freequadraticmodule_static.py::test_freequadraticmodule_zero_submodule_has_rank_zero","2026-02-15","zero object {0} with rank 0 stated"
"93","Lattices over $\mathbf{Z}$","Free quadratic module ambient data","span","done","sage_doc/test_freequadraticmodule_static.py::test_freequadraticmodule_span_and_span_of_basis_agree_on_rank","2026-02-15","module span <v_1,...,v_r>_R definition added"
"94","Lattices over $\mathbf{Z}$","Free quadratic module ambient data","span_of_basis","done","sage_doc/test_freequadraticmodule_static.py::test_freequadraticmodule_span_of_basis_rank_two_on_independent_basis","2026-02-15","basis-driven submodule constructor semantics clarified"
"95","Definite lattices over $\mathbf{Z}$","Definiteness predicates","is_positive_definite","done","sage_doc/test_binaryqf_static.py::test_binaryqf_positive_definite_criterion_example","2026-02-15","binary criterion D<0 and a>0 (equiv. positive eigenvalues) added"
"96","Definite lattices over $\mathbf{Z}$","Definiteness predicates","is_negative_definite","done","sage_doc/test_binaryqf_static.py::test_binaryqf_negative_definite_aliases_match","2026-02-15","negative-definite inertia/eigenvalue criterion added"
"97","Definite lattices over $\mathbf{Z}$","Definiteness predicates","is_indefinite","done","sage_doc/test_binaryqf_static.py::test_binaryqf_is_indefinite_true_for_positive_discriminant","2026-02-15","mixed-signature criterion with binary D>0 specialization added"
"98","Definite lattices over $\mathbf{Z}$","Definiteness predicates","is_definite","done","sage_doc/test_quadraticform_static.py::test_quadraticform_is_definite_true_for_positive_diagonal","2026-02-15","definite iff signature has no mixed signs"
"99","Definite lattices over $\mathbf{Z}$","Definiteness predicates","is_indef","done","sage_doc/test_binaryqf_static.py::test_binaryqf_indefinite_aliases_match_on_indefinite_example","2026-02-15","alias to is_indefinite (mixed signature) noted"
"100","Definite lattices over $\mathbf{Z}$","Definiteness predicates","is_negdef","done","sage_doc/test_binaryqf_static.py::test_binaryqf_is_negdef_true_for_negative_identity","2026-02-15","alias semantics for negative-definite predicate added"
"101","Definite lattices over $\mathbf{Z}$","Definiteness predicates","is_posdef","done","sage_doc/test_binaryqf_static.py::test_binaryqf_is_posdef_alias_matches_positive_definite","2026-02-15","alias semantics for positive-definite predicate added"
